ลำดับหน้าเมนู(plan),,,,,
เล่มเมนู 12 หน้า,หมวดอาหาร,,ชื่อเมนู,ราคา,มีรูป/ไม่มี
หน้าแรก,หน้าปก,,,,
หน้า2 - 3,ชุดแจ่ว กับแจ่วถ้วย,,ชุดหมูอิ่มคู่ 1-2 คน,199.-,ไม่มี
,,,ชุดหมูอิ่มเรา 2-3 คน,299.-,ไม่มี
,,,ชุดหมูอิ่มยกแก๊งค์ 3-4 คน,399.-,มี
,,,,,
,,,ชุดเนื้อขนาดกลาง 2-3 คน,299.-,ไม่มี
,,,ชุดเนื้อขนาดใหญ่ 3-4 คน,399-,มี
,,,ชุดรวม หมู-เนื้อ,399.-,มี
,,,เสริมวัว,,
,,,   น่องลาย,69.-,มี
,,,   สันคอ,69.-,มี
,,,   สันใน,69.-,มี
,,,   ใบพาย  ,69.-,มี
,,,   พิคานย่า,69.-,มี
,,,   เบคอน,69.-,มี
,,,เสริมหมู,,
,,,   สามชั้น,49.-,มี
,,,   สันคอ,49.-,มี
,,,   สะโพก,49.-,มี
,,,เสริมอื่นๆ,,
,,,   ปลาดอลลี่ (เป็น 130g),49.-,มี
,,,   ตับ (เป็น 130g),49.-,มี
,,,   หมึกกรอบ (เป็น 130g),49.-,มี
,,,   สะไบนาง (เป็น 130g),59.-,มี
,,,   ไข่ไก่,10.-,มี
,,,เสริมผัก,,
,,,  ชุดผักรวม,49.-,มี
,,,   ผักบุ้ง,19.-,มี
,,,   กระหล่ำปี,19.-,มี
,,,   โหระพา,19.-,มี
,,,   เห็ดเข็มทอง ,19.-,มี
,,,   ผักชีใบเลื่อย,19.-,มี
,,,   ขึ้นฉ่าย,19.-,มี
,,,เสริมเส้น,,
,,,   วุ้นเส้น,19.-,มี
,,,   มาม่า,10.-,มี
,,,   บะหมี่หยก เสิร์ฟ 2 ก้อน,29.-,มี
,,,,,
,,/,แจ่วฮ้อนถ้วยด่วน หมู/เนื้อ,60.-/70.-,มี
,,/,แจ่วฮ้อนขลุกขลิก หมู/เนื้อ,60.-/70.-,มี
,,/,แจ่วฮ้อนผัดแห้ง หมู/เนื้อ,60.-/70.-,มี
หน้า 4 (ซ้าย),เมนูแนะนำ,,ริบอายย่างจิ้มแจ่ว,159.-,มี
,5 เมนู,/,คอหมูย่าง,139.-,มี
,,,แหนมซี่โครง,99.-,มี
,,/,ส้มตำปูปลาร้า,60.-,มี
,,/,ลาบหมู,99.-,มี
หน้า 5 (ขวา),กับแกล้ม+ทานเล่น,,ลวกจิ้ม,139.-,มี
,,,หมูแดดเดียว,99.-,มี
,,/,เนื้อแดดเดียว,119.-,มี
,,,แหนมซี่โครง,99.-,มี
,,/,ปีกไก่ทอด,69.-,มี
,,/,เอ็นไก่ทอด,69.-,มี
,,,ไส้อ่อนทอดกระเทียม,119.-,มี
,,/,ยำถั่วทอด,69.-,มี
,,/,เฟร้นฟราย,69.-,มี
,,/,นักเก็ต,69.-,ไม่มี
,,/,ไก่ป็อบ,69.-,ไม่มี
หน้า 6 (ซ้าย),เมนูย่าง+อีสาน+ตำ,,ริบอายย่างจิ้มแจ่ว,159.-,มี
,,/,คอหมูย่าง,139.-,มี
,,/,ไส้อ่อนย่าง,119.-,มี
,,,เนื้อโคขุนเสียบไม้ ,99.-,มี
,,/,ลาบหมู,79.-,มี
,,/,ลาบสไบนาง,79.-,มี
หน้า 7(ขวา),ตำ/ยำ ดีไหม,-,ตำปูปลาร้า,60.-,ไม่มี
,,/,ตำปูปลาร้ากุ้งสด,129.-,มี
,,,ตำปูปลาร้าหมูยอ,79.-,
,,/,ตำไทย,60.-,ไม่มี
,,/,ตำแตง,60.-,ไม่มี
,,,ตำถั่ว,60.-,ไม่มี
,,/,ตำเล็บมือนาง,69.-,มี
,,,ตำหมูยอ,69.-,มี
,,,ตำวุ้นเส้นหมูยอ,79.-,ไม่มี
,,/,ตำวุ้นเส้นกุ้งสด,89.-,มี
หน้า 7(ขวา),ยำ,/,ยำว้นเส้นหมูสับ,69.-,มี
,,,ยำมาม่าหมูสับ,69.-,ไม่มี
,,,ยำแมงกระพรุน,69.-,มี
,,,ยำไข่ดาว,69.-,มี
,,,ยำเล็บมือนาง,69.-,มี
,,,ยำหมูยอ,69.-,มี
หน้า 8 -9,จานเดียว/กับข้าว,,ข้าวผัดหมูโบราณ,69.-,มี
หน้าซ้าย-ขวา,,/,ข้าวผัดเกลือ,60.-,มี
,,,ไข่เจียวราดข้าว / กับข้าว,40.-/50.-,ไม่มี
,,,ข้าวไข่เจียวหมูสับราดข้าว / กับข้าว,50.-/60.-,ไม่มี
,,,กระเพราหมูสับราดข้าว / กับข้าว,69.-/80.-,ไม่มี
,,,กระเพราหมูสับคลุกข้าว,69.-,มี
,,,กระเพราเนื้อสับเนื้อสไลด์ราดข้าว / กับข้าว,79.-/100.-,มี
,,,กระเพราเนื้อสับเนื้อสไลด์คลุกข้าว,79.-,ไม่มี
,,,กระเพรากุ้งราดข้าว / กับข้าว,89.-/110.-,มี
,,,หมูผัดโหระพาราดข้าว / กับข้าว,80.-/89.-,มี
,,,เนื้อผัดโหระพาราดข้าว / กับข้าว,79.-/99.-,มี
,,,ตับผัดหอมราดข้าว / กับข้าว,69.-,มี
,,,ผัดผักบุ้งหมูสับราดข้าว / กับข้าว,,มี
,,,กระหล่ำผัดน้ำปลา กับข้าว,79.-,มี
หน้า 10(ซ้าย),เครื่องดื่ม,,,,
หน้า 11 (ขวา),,,ว่าง,,
หน้า 12 (ปกหลัง),,,,,